stop_code,stop_name
5889,135 Sturges Road
5387,Western Heights School
5385,Fitzwater Place
5383,Geordie Street
5381,Sturges Road/Sturges Road Station
5378,Sturges Road/Sturges Road Station
5380,Geordie Street
5382,Burgundy Park Avenue
5386,Palomino shops
5388,162 Sturges Road
5390,Roy Maloney Drive
5392,Castle Heights
1580,Toledo Avenue
1584,Sapperton Drive
1692,Rissington Avenue
1694,Murray Becroft Avenue
1679,Babich Road South
5763,99 Hetherington Road
5765,Kellett Road
5761,Mili Way
5759,Simpson Road
5757,Ranui Avenue
5905,Stop C Lincoln Bus Interchange
5638,Pomaria Road/Lincoln Road
5678,Pomaria Road/Rathgar Road
5793,Alan Avenue
5791,Larnoch Corner
5448,16 Metcalfe Road
5750,Riserra Drive
1554,Ranui Station Road
1629,89 Summerland Drive
5731,Parkcrest Drive
1587,Chadlington Avenue
5375,Somerton Rise
5428,Spence Road
5430,Tirohunga Drive
5417,Murillo Place
1604,Wally Nola Place walkway
1568,Forest Hill Road/Farwood Drive
5328,Parrs Cross Road
5335,Henderson Valley Shops
5337,Henderson Valley Park
5339,Border Road roundabout
5341,Corban Reserve
5343,Garelja Road
5345,79 Henderson Valley Road
5347,Keeling Road
5349,Henderson High School
5346,Smythe Road
5924,Henderson High School
5344,Keeling Road
5342,80 Henderson Valley Road
5340,Garelja Road
5338,Border Road roundabout
5336,Henderson Valley Park
5334,Henderson Valley Shops
1691,Parrs Cross Road
5979,Forest Hill Road/Farwood Drive
1699,7 Forest Hill Road
5426,Murillo Place
5721,Tirohunga Drive
5419,Spence Road
5444,Somerton Rise
1570,Chadlington Avenue
5442,Parkcrest Drive
5446,88 Summerland Drive
1569,Ranui Kingdom Hall
5737,Riserra Drive
5735,9 Metcalfe Road
5806,Larnoch Corner
5808,Alan Avenue
5627,Pomaria Road/Rathgar Road
5633,Pomaria Road/Lincoln Road
1626,Township Park
1557,Northfield Road
1538,Burnham Road
1521,Kay Road
5975,Swanson Station
5397,Swanson Village
1571,Swanson School
5399,North Candia Road
5401,Waimoko Stream Bridge
5403,Ranui Park
5762,Swanson Road corner
5764,Elvira Walk
5766,Luanda Drive
5768,Ranui Library
1628,Ranui Station
1617,Ranui Station
5749,Ranui Library
5747,Luanda Drive
1611,Elvira Walk
5406,Ranui Park
5404,Waimoko Stream Bridge
5402,North Candia Road
5400,Swanson School
1558,Swanson Village
1520,Kay Road
1539,Burnham Road
1556,Northfield Road
5471,Swanson Road/Arney Road
1573,Bahari Drive
1575,Carwen Place
5780,12 Universal Drive
5782,Lincoln Garden Close
5784,Riverpark Reserve
5786,Riverpark Crescent
1612,PAK'nSAVE Lincoln Road
5967,PAK'nSAVE Lincoln Road
