source,target,route_id
6578,6319,325-221
6156,6578,325-221
6580,6306,325-221
6319,6580,325-221
6582,6508,325-221
6306,6582,325-221
6508,6308,325-221
6308,6313,325-221
6510,6311,325-221
6313,6510,325-221
6311,6512,325-221
6512,6511,325-221
6511,6309,325-221
6309,6509,325-221
6307,6325,325-221
6509,6307,325-221
6507,6531,325-221
6325,6507,325-221
6323,6575,325-221
6531,6323,325-221
6321,2218,325-221
2218,6419,325-221
6417,6415,325-221
6415,2013,325-221
6413,1777,325-221
6411,1356,325-221
6409,7642,325-221
7642,6191,325-221
6370,6568,325-221
6568,6372,325-221
6384,6386,325-221
6372,6384,325-221
6372,6374,361-203
6386,6374,325-221
6374,6388,325-221
6399,6397,325-221
6388,6399,325-221
6397,6378,325-221
6378,6380,325-221
6395,6382,325-221
6380,6395,325-221
6382,6405,325-221
6405,6403,325-221
6403,6389,325-221
6389,6387,325-221
6389,6030,361-203
6401,6569,325-221
6387,6401,325-221
6387,2431,361-203
6385,7649,325-221
6569,6385,325-221
7649,6197,325-221
6392,6565,325-221
6394,6396,325-221
6396,7025,325-221
6398,1773,325-221
6400,2496,325-221
2215,6312,325-221
6312,6402,325-221
6498,6314,325-221
6314,6500,325-221
6316,6344,325-221
6500,6316,325-221
2214,6502,325-221
6344,2214,325-221
6444,6476,325-221
6502,6444,325-221
6504,6304,325-221
6476,6504,325-221
6304,6506,325-221
6506,6517,325-221
6517,6937,325-221
6515,6513,325-221
6315,6515,325-221
6513,6310,325-221
6310,6189,325-221
6583,6581,325-221
6189,6583,325-221
6581,6199,325-221
6199,6579,325-221
6381,6577,325-221
6579,6381,325-221
6577,6379,325-221
6379,2172,325-221
6022,2108,361-203
6748,6856,361-203
2188,6874,361-203
2127,2336,361-203
6048,2127,361-203
2144,2131,361-203
6030,6387,361-203
6888,6191,361-203
6035,2152,361-203
2143,2179,361-203
2179,6923,361-203
6923,2335,361-203
2335,6771,361-203
6771,6025,361-203
6025,2472,361-203
6128,6281,72X-205
6125,1760,72X-205
1760,2437,72X-205
6376,6048,361-203
2336,6947,361-203
6947,2144,361-203
2131,6389,361-203
2431,6888,361-203
2158,2174,361-203
2174,6768,361-203
6768,2160,361-203
2160,2176,361-203
2176,6780,361-203
6780,6795,361-203
6795,2204,361-203
2204,2110,361-203
2110,2164,361-203
2164,2178,361-203
2178,2166,361-203
2166,6764,361-203
6764,2470,361-203
2470,2168,361-203
2168,2476,361-203
2476,6266,361-203
6266,2135,361-203
2135,2475,361-203
2475,2478,361-203
2478,2347,361-203
2347,2133,361-203
2133,6958,361-203
6958,6022,361-203
2108,2254,361-203
2254,6106,361-203
6106,6748,361-203
6856,2188,361-203
6874,6858,361-203
6858,6876,361-203
6876,6860,361-203
6860,2212,361-203
2212,6862,361-203
6862,6881,361-203
6881,6864,361-203
6864,6879,361-203
6879,6866,361-203
6866,6877,361-203
6877,6868,361-203
6868,6875,361-203
6875,6870,361-203
6870,6873,361-203
6873,6885,361-203
6885,6871,361-203
6871,6883,361-203
6883,6869,361-203
6869,6083,361-203
6083,6867,361-203
6867,6775,361-203
6775,2195,361-203
2195,2154,361-203
2154,2447,361-203
2447,2156,361-203
2156,2329,361-203
2329,2149,361-203
2149,2445,361-203
2445,2147,361-203
2147,2451,361-203
2451,2145,361-203
2145,2141,361-203
2141,2171,361-203
2171,2273,361-203
2273,6799,361-203
6799,2169,361-203
2169,6797,361-203
6797,2162,361-203
2162,2167,361-203
2167,6035,361-203
2152,2233,361-203
2233,6033,361-203
2472,2474,361-203
2474,2477,361-203
2477,6785,361-203
6785,6813,361-203
6813,6811,361-203
6811,6793,361-203
6793,6197,361-203
2355,6372,361-203
8044,7437,65-202
8044,7200,OUT-202
8046,7435,65-202
